,GMIS.Region,Old.Region,GMIS.Division,Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
793,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Registrar I,10,0,10,100
794,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,School Librarian III,1,0,1,100
795,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,School Principal I,13,1,14,92.86
796,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,School Principal II,9,1,10,90
797,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,School Principal III,7,0,7,100
798,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,School Principal IV,8,0,8,100
799,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Schools Division Superintendent,1,0,1,100
800,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Senior Education Program Specialist,4,0,4,100
801,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Special Education Teacher I,29,0,29,100
802,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Special Education Teacher III,1,0,1,100
803,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Special Science Teacher I,4,3,7,57.14
804,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Teacher I,880,18,898,98
805,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Teacher II,563,12,575,97.91
806,National Capital Region (NCR),NCR,Division of Malabon City,Malabon City,Teacher III,909,14,923,98.48
807,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Accountant III,1,0,1,100
808,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Aide I,25,0,25,100
809,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Aide III,3,1,4,75
810,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Aide IV,1,5,6,16.67
811,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Aide VI,10,0,10,100
812,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Assistant II,19,12,31,61.29
813,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Assistant III,27,0,27,100
814,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Officer I,3,0,3,100
815,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Officer II,27,0,27,100
816,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Officer IV,6,0,6,100
817,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Administrative Officer V,2,0,2,100
818,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Assistant School Principal II,6,0,6,100
819,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Assistant Schools Division Superintendent,1,0,1,100
820,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Attorney III,1,0,1,100
821,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Chief Education Supervisor,2,0,2,100
822,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Dentist I,2,0,2,100
823,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Dentist II,2,0,2,100
824,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Education Program Specialist II,5,1,6,83.33
825,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Education Program Supervisor,11,0,11,100
826,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Engineer III,1,0,1,100
827,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Guidance Coordinator III,1,0,1,100
828,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Guidance Counselor I,1,1,2,50
829,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Guidance Counselor II,1,11,12,8.33
830,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Head Teacher I,1,0,1,100
831,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Head Teacher II,2,0,2,100
832,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Head Teacher III,49,10,59,83.05
833,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Head Teacher IV,2,2,4,50
834,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Head Teacher V,1,0,1,100
835,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Head Teacher VI,4,0,4,100
836,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Information Technology Officer I,1,0,1,100
837,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Master Teacher I,97,10,107,90.65
838,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Master Teacher II,36,8,44,81.82
839,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Nurse II,8,0,8,100
840,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Planning Officer III,1,0,1,100
841,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Project Development Officer I,4,0,4,100
842,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Project Development Officer II,1,1,2,50
843,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Psychologist I,1,0,1,100
844,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Public Schools District Supervisor,10,0,10,100
845,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Registrar I,6,0,6,100
846,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,School Librarian I,2,0,2,100
847,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,School Principal I,8,1,9,88.89
848,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,School Principal II,2,1,3,66.67
849,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,School Principal III,5,0,5,100
850,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,School Principal IV,6,0,6,100
851,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Schools Division Superintendent,1,0,1,100
852,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Security Guard I,7,0,7,100
853,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Security Guard II,1,0,1,100
854,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Senior Education Program Specialist,3,1,4,75
855,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Social Welfare Officer I,2,0,2,100
856,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Special Education Teacher I,54,12,66,81.82
857,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Special Education Teacher II,11,4,15,73.33
858,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Special Education Teacher III,38,2,40,95
859,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Special School Principal II,1,0,1,100
860,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Special Science Teacher I,9,2,11,81.82
861,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Teacher I,959,11,970,98.87
862,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Teacher II,480,42,522,91.95
863,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Teacher III,445,8,453,98.23
864,National Capital Region (NCR),NCR,Division of Mandaluyong,Mandaluyong City,Vocational Placement Coordinator I,1,0,1,100
865,National Capital Region (NCR),NCR,Division of Manila,Manila,Accountant II,1,0,1,100
866,National Capital Region (NCR),NCR,Division of Manila,Manila,Accountant III,1,0,1,100
867,National Capital Region (NCR),NCR,Division of Manila,Manila,Accounting Clerk II,1,0,1,100
868,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Aide I,397,113,510,77.84
869,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Aide II,1,2,3,33.33
870,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Aide III,34,40,74,45.95
871,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Aide IV,14,31,45,31.11
872,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Aide VI,15,4,19,78.95
873,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Assistant II,93,15,108,86.11
874,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Assistant III,77,14,91,84.62
875,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Officer I,33,6,39,84.62
876,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Officer II,86,1,87,98.85
877,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Officer IV,14,3,17,82.35
878,National Capital Region (NCR),NCR,Division of Manila,Manila,Administrative Officer V,1,1,2,50
879,National Capital Region (NCR),NCR,Division of Manila,Manila,Assistant School Principal II,12,3,15,80
880,National Capital Region (NCR),NCR,Division of Manila,Manila,Attorney III,1,0,1,100
881,National Capital Region (NCR),NCR,Division of Manila,Manila,Chief Education Supervisor,2,0,2,100
882,National Capital Region (NCR),NCR,Division of Manila,Manila,Dentist II,7,0,7,100
883,National Capital Region (NCR),NCR,Division of Manila,Manila,Education Program Specialist II,8,2,10,80
884,National Capital Region (NCR),NCR,Division of Manila,Manila,Education Program Supervisor,11,2,13,84.62
885,National Capital Region (NCR),NCR,Division of Manila,Manila,Engineer III,1,0,1,100
886,National Capital Region (NCR),NCR,Division of Manila,Manila,Guidance Coordinator III,1,3,4,25
887,National Capital Region (NCR),NCR,Division of Manila,Manila,Guidance Counselor III,10,149,159,6.29
888,National Capital Region (NCR),NCR,Division of Manila,Manila,Head Teacher I,2,1,3,66.67
889,National Capital Region (NCR),NCR,Division of Manila,Manila,Head Teacher III,69,8,77,89.61
890,National Capital Region (NCR),NCR,Division of Manila,Manila,Head Teacher VI,132,37,169,78.11
891,National Capital Region (NCR),NCR,Division of Manila,Manila,Human Resource Management Officer I,1,0,1,100
892,National Capital Region (NCR),NCR,Division of Manila,Manila,Information Technology Officer I,1,0,1,100
893,National Capital Region (NCR),NCR,Division of Manila,Manila,Legal Assistant I,1,0,1,100
894,National Capital Region (NCR),NCR,Division of Manila,Manila,Librarian I,1,0,1,100
895,National Capital Region (NCR),NCR,Division of Manila,Manila,Librarian II,2,0,2,100
896,National Capital Region (NCR),NCR,Division of Manila,Manila,Master Teacher I,830,184,1014,81.85
897,National Capital Region (NCR),NCR,Division of Manila,Manila,Master Teacher II,461,100,561,82.17
898,National Capital Region (NCR),NCR,Division of Manila,Manila,Nurse II,35,2,37,94.59
899,National Capital Region (NCR),NCR,Division of Manila,Manila,Planning Officer III,1,0,1,100
900,National Capital Region (NCR),NCR,Division of Manila,Manila,Project Development Officer I,7,1,8,87.5
901,National Capital Region (NCR),NCR,Division of Manila,Manila,Project Development Officer II,2,0,2,100
902,National Capital Region (NCR),NCR,Division of Manila,Manila,Public Schools District Supervisor,33,0,33,100
903,National Capital Region (NCR),NCR,Division of Manila,Manila,Records Officer II,1,0,1,100
904,National Capital Region (NCR),NCR,Division of Manila,Manila,Registrar I,12,0,12,100
905,National Capital Region (NCR),NCR,Division of Manila,Manila,School Librarian I,3,1,4,75
906,National Capital Region (NCR),NCR,Division of Manila,Manila,School Librarian III,4,2,6,66.67
907,National Capital Region (NCR),NCR,Division of Manila,Manila,School Principal I,26,90,116,22.41
908,National Capital Region (NCR),NCR,Division of Manila,Manila,School Principal II,12,13,25,48
909,National Capital Region (NCR),NCR,Division of Manila,Manila,School Principal III,15,11,26,57.69
910,National Capital Region (NCR),NCR,Division of Manila,Manila,School Principal IV,49,4,53,92.45
911,National Capital Region (NCR),NCR,Division of Manila,Manila,Schools Division Superintendent,1,0,1,100
912,National Capital Region (NCR),NCR,Division of Manila,Manila,Security Guard I,47,6,53,88.68
913,National Capital Region (NCR),NCR,Division of Manila,Manila,Security Guard II,4,0,4,100
914,National Capital Region (NCR),NCR,Division of Manila,Manila,Senior Education Program Specialist,4,0,4,100
915,National Capital Region (NCR),NCR,Division of Manila,Manila,Special Education Teacher I,144,32,176,81.82
916,National Capital Region (NCR),NCR,Division of Manila,Manila,Special Science Teacher I,24,13,37,64.86
917,National Capital Region (NCR),NCR,Division of Manila,Manila,Teacher I,3194,905,4099,77.92
918,National Capital Region (NCR),NCR,Division of Manila,Manila,Teacher II,2950,322,3272,90.16
919,National Capital Region (NCR),NCR,Division of Manila,Manila,Teacher III,2917,309,3226,90.42
920,National Capital Region (NCR),NCR,Division of Manila,Manila,Watchman I,63,5,68,92.65
921,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Accountant III,1,0,1,100
922,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Aide I,10,4,14,71.43
923,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Aide IV,5,3,8,62.5
924,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Aide VI,7,1,8,87.5
925,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Assistant I,1,0,1,100
926,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Assistant II,34,5,39,87.18
927,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Assistant III,30,0,30,100
928,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Officer I,1,0,1,100
929,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Officer II,26,2,28,92.86
930,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Officer IV,4,0,4,100
931,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Administrative Officer V,2,0,2,100
932,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Assistant School Principal II,12,0,12,100
933,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Attorney III,1,0,1,100
934,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Chief Education Supervisor,2,0,2,100
935,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Dentist II,2,0,2,100
936,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Education Program Specialist II,4,1,5,80
937,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Education Program Supervisor,11,0,11,100
938,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Engineer III,1,0,1,100
939,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Guidance Counselor I,1,2,3,33.33
940,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Guidance Counselor III,1,0,1,100
941,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Head Teacher I,8,0,8,100
942,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Head Teacher II,2,0,2,100
943,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Head Teacher III,48,7,55,87.27
944,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Head Teacher IV,3,0,3,100
945,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Head Teacher VI,12,0,12,100
946,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Information Technology Officer I,1,0,1,100
947,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Instructor I,1,0,1,100
948,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Instructor II,1,0,1,100
949,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Librarian II,1,0,1,100
950,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Master Teacher I,172,23,195,88.21
951,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Master Teacher II,61,17,78,78.21
952,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Nurse II,6,1,7,85.71
953,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Planning Officer III,1,0,1,100
954,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Project Development Officer I,4,1,5,80
955,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Project Development Officer II,2,0,2,100
956,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Public Schools District Supervisor,9,1,10,90
957,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Registrar I,6,0,6,100
958,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,School Librarian II,1,0,1,100
959,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,School Principal I,6,3,9,66.67
960,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,School Principal II,5,4,9,55.56
961,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,School Principal III,2,3,5,40
962,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,School Principal IV,8,2,10,80
963,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Schools Division Superintendent,1,0,1,100
964,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Security Guard I,4,3,7,57.14
965,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Senior Education Program Specialist,3,1,4,75
966,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Special Education Teacher I,13,0,13,100
967,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Special Education Teacher III,8,0,8,100
968,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Special Science Teacher I,6,17,23,26.09
969,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Teacher I,1133,14,1147,98.78
970,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Teacher II,758,21,779,97.3
971,National Capital Region (NCR),NCR,Division of Marikina,Marikina City,Teacher III,718,14,732,98.09
972,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Accountant III,1,0,1,100
973,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Aide I,2,0,2,100
974,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Aide III,1,1,2,50
975,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Aide IV,5,6,11,45.45
976,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Aide VI,8,0,8,100
977,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Assistant II,19,1,20,95
978,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Assistant III,22,0,22,100
979,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Officer I,2,0,2,100
980,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Officer II,25,2,27,92.59
981,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Officer IV,5,0,5,100
982,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Administrative Officer V,2,0,2,100
983,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Assistant School Principal II,1,2,3,33.33
984,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Assistant Schools Division Superintendent,1,0,1,100
985,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Attorney III,1,0,1,100
986,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Cashier I,1,0,1,100
987,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Chief Education Supervisor,2,0,2,100
988,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Dentist II,2,0,2,100
989,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Education Program Specialist II,5,0,5,100
990,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Education Program Supervisor,11,0,11,100
991,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Engineer III,1,0,1,100
992,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Head Teacher I,8,0,8,100
993,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Head Teacher II,1,0,1,100
994,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Head Teacher III,13,0,13,100
995,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Head Teacher IV,1,1,2,50
996,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Head Teacher V,2,0,2,100
997,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Head Teacher VI,6,1,7,85.71
998,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Information Technology Officer I,1,0,1,100
999,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Librarian II,1,0,1,100
1000,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Master Teacher I,169,2,171,98.83
1001,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Master Teacher II,55,1,56,98.21
1002,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Nurse II,5,0,5,100
1003,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Planning Officer III,1,0,1,100
1004,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Project Development Officer I,6,0,6,100
1005,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Project Development Officer II,2,0,2,100
1006,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Public Schools District Supervisor,8,2,10,80
1007,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Registrar I,3,0,3,100
1008,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,School Librarian III,1,0,1,100
1009,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,School Principal I,2,0,2,100
1010,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,School Principal II,8,0,8,100
1011,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,School Principal III,3,0,3,100
1012,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,School Principal IV,7,1,8,87.5
1013,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Security Guard I,1,2,3,33.33
1014,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Senior Education Program Specialist,4,0,4,100
1015,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Special Education Teacher I,21,0,21,100
1016,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Special Education Teacher III,1,0,1,100
1017,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Special Science Teacher I,16,6,22,72.73
1018,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Teacher I,1141,81,1222,93.37
1019,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Teacher II,434,110,544,79.78
1020,National Capital Region (NCR),NCR,Division of Muntinlupa,Muntinlupa City,Teacher III,873,34,907,96.25
1021,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Accountant III,1,0,1,100
1022,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Aide I,2,0,2,100
1023,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Aide II,1,0,1,100
1024,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Aide IV,2,0,2,100
1025,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Aide VI,8,0,8,100
1026,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Assistant I,1,0,1,100
1027,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Assistant II,25,0,25,100
1028,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Assistant III,24,0,24,100
1029,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Officer II,20,0,20,100
1030,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Officer IV,4,0,4,100
1031,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Administrative Officer V,2,0,2,100
1032,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Assistant School Principal II,6,0,6,100
1033,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Attorney III,1,0,1,100
1034,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Chief Education Supervisor,2,0,2,100
1035,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Dentist II,2,0,2,100
1036,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Education Program Specialist II,5,0,5,100
1037,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Education Program Supervisor,11,0,11,100
1038,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Engineer III,1,0,1,100
1039,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Guidance Counselor II,1,6,7,14.29
1040,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Head Teacher I,2,0,2,100
1041,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Head Teacher II,2,0,2,100
1042,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Head Teacher III,37,0,37,100
1043,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Head Teacher VI,5,0,5,100
1044,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Information Technology Officer I,1,0,1,100
1045,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Librarian II,1,0,1,100
1046,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Master Teacher I,112,0,112,100
1047,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Master Teacher II,30,0,30,100
1048,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Nurse II,4,0,4,100
1049,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Planning Officer III,1,0,1,100
1050,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Project Development Officer I,6,0,6,100
1051,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Project Development Officer II,2,0,2,100
1052,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Public Schools District Supervisor,10,0,10,100
1053,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Registrar I,3,0,3,100
1054,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,School Principal I,4,0,4,100
1055,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,School Principal II,7,0,7,100
1056,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,School Principal III,4,0,4,100
1057,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,School Principal IV,9,0,9,100
1058,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Schools Division Superintendent,1,0,1,100
1059,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Senior Education Program Specialist,4,0,4,100
1060,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Special Education Teacher I,32,0,32,100
1061,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Special Education Teacher II,2,0,2,100
1062,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Special Education Teacher III,1,0,1,100
1063,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Special Science Teacher I,4,1,5,80
1064,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Teacher I,549,0,549,100
1065,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Teacher II,429,0,429,100
1066,National Capital Region (NCR),NCR,Division of Navotas City,Navotas,Teacher III,618,0,618,100
1067,National Capital Region (NCR),NCR,Division of Parañaque,Paranaque,Accountant III,1,0,1,100
1068,National Capital Region (NCR),NCR,Division of Parañaque,Paranaque,Administrative Aide I,4,6,10,40
1069,National Capital Region (NCR),NCR,Division of Parañaque,Paranaque,Administrative Aide IV,2,2,4,50
1070,National Capital Region (NCR),NCR,Division of Parañaque,Paranaque,Administrative Aide VI,4,3,7,57.14
